path,method,handler_file,auth_required,role_required,type
/checkout/:checkoutId/cancel,POST,server/src/routes/terminal.routes.ts,True,,express
/checkout/:checkoutId/complete,POST,server/src/routes/terminal.routes.ts,True,,express
/devices,GET,server/src/routes/terminal.routes.ts,True,,express
/intent,POST,server/src/routes/payments.routes.ts,True,,express
/status/:id,GET,server/src/routes/payments.routes.ts,True,,express
/create,POST,server/src/routes/payments.routes.ts,True,,express
/:paymentId,GET,server/src/routes/payments.routes.ts,True,,express
/:paymentId/refund,POST,server/src/routes/payments.routes.ts,True,,express
/webhooks/payments,POST,server/src/routes/payments.routes.ts,True,,express
/square,POST,server/src/routes/webhooks.routes.ts,False,,express
/stripe,POST,server/src/routes/webhooks.routes.ts,False,,express
/,GET,server/src/routes/orders.routes.ts,True,"DatabaseRole.OWNER, DatabaseRole.MANAGER, DatabaseRole.SERVER, DatabaseRole.CUSTOMER",express
/,POST,server/src/routes/orders.routes.ts,True,"DatabaseRole.OWNER, DatabaseRole.MANAGER, DatabaseRole.SERVER, DatabaseRole.CUSTOMER",express
/voice,POST,server/src/routes/orders.routes.ts,True,"DatabaseRole.OWNER, DatabaseRole.MANAGER, DatabaseRole.SERVER, DatabaseRole.CUSTOMER",express
/:id,GET,server/src/routes/orders.routes.ts,True,"DatabaseRole.OWNER, DatabaseRole.MANAGER, DatabaseRole.SERVER, DatabaseRole.CUSTOMER",express
/:id/status,PATCH,server/src/routes/orders.routes.ts,True,"DatabaseRole.OWNER, DatabaseRole.MANAGER, DatabaseRole.SERVER, DatabaseRole.CUSTOMER",express
/:id,DELETE,server/src/routes/orders.routes.ts,True,"DatabaseRole.OWNER, DatabaseRole.MANAGER, DatabaseRole.SERVER, DatabaseRole.CUSTOMER",express
/,USE,server/src/routes/index.ts,False,,express
/,USE,server/src/routes/index.ts,False,,express
/auth,USE,server/src/routes/index.ts,False,,express
/security,USE,server/src/routes/index.ts,False,,express
/menu,USE,server/src/routes/index.ts,False,,express
/orders,USE,server/src/routes/index.ts,False,,express
/payments,USE,server/src/routes/index.ts,False,,express
/terminal,USE,server/src/routes/index.ts,False,,express
/tables,USE,server/src/routes/index.ts,False,,express
/tables,USE,server/src/routes/index.ts,False,,express
/payments,USE,server/src/routes/index.ts,False,,express
/ai,USE,server/src/routes/index.ts,False,,express
/restaurants,USE,server/src/routes/index.ts,False,,express
/realtime,USE,server/src/routes/index.ts,False,,express
/webhooks,USE,server/src/routes/index.ts,False,,express
/kiosk,POST,server/src/routes/auth.routes.ts,True,,express
/login,POST,server/src/routes/auth.routes.ts,True,,express
/pin-login,POST,server/src/routes/auth.routes.ts,True,,express
/station-login,POST,server/src/routes/auth.routes.ts,True,,express
/logout,POST,server/src/routes/auth.routes.ts,True,,express
/me,GET,server/src/routes/auth.routes.ts,True,,express
/refresh,POST,server/src/routes/auth.routes.ts,True,,express
/set-pin,POST,server/src/routes/auth.routes.ts,True,,express
/revoke-stations,POST,server/src/routes/auth.routes.ts,True,,express
/metrics,POST,server/src/routes/metrics.ts,False,,express
/health,GET,server/src/routes/metrics.ts,False,,express
/health/detailed,GET,server/src/routes/metrics.ts,False,,express
/test/error,POST,server/src/routes/metrics.ts,False,,express
/api/,USE,server/src/routes/__tests__/security.test.ts,False,,express
/api/v1/orders/voice,USE,server/src/routes/__tests__/security.test.ts,False,,express
/api/v1,USE,server/src/routes/__tests__/security.test.ts,False,,express
/api/v1/ai,USE,server/src/routes/__tests__/ai.health.test.ts,True,,express
/api/v1,USE,server/src/routes/__tests__/table-payment.routes.test.ts,False,,express
/api/v1/payments,USE,server/src/routes/__tests__/payments.test.ts,False,,express
/api/v1/payments,USE,server/src/routes/__tests__/payments.test.ts,False,,express
/api/v1/payments,USE,server/src/routes/__tests__/payments.test.ts,False,,express
/api/v1/payments,USE,server/src/routes/__tests__/payments.test.ts,False,,express
/,GET,client/src/components/layout/AppRoutes.tsx,False,,react
/home,GET,client/src/components/layout/AppRoutes.tsx,False,,react
/login,GET,client/src/components/layout/AppRoutes.tsx,False,,react
/pin-login,GET,client/src/components/layout/AppRoutes.tsx,False,,react
/station-login,GET,client/src/components/layout/AppRoutes.tsx,False,,react
/unauthorized,GET,client/src/components/layout/AppRoutes.tsx,False,,react
/dashboard,GET,client/src/components/layout/AppRoutes.tsx,False,,react
/kitchen,GET,client/src/components/layout/AppRoutes.tsx,False,,react
/kiosk-demo,GET,client/src/components/layout/AppRoutes.tsx,False,,react
/kiosk,GET,client/src/components/layout/AppRoutes.tsx,False,,react
/drive-thru,GET,client/src/components/layout/AppRoutes.tsx,False,,react
/history,GET,client/src/components/layout/AppRoutes.tsx,False,,react
/performance,GET,client/src/components/layout/AppRoutes.tsx,False,,react
/server,GET,client/src/components/layout/AppRoutes.tsx,False,,react
/admin,GET,client/src/components/layout/AppRoutes.tsx,False,,react
